,%spendhighimprshare,KS,cost,cost_on_high_imprshare,portfolio_id,ports
3,1.0,KS5103,586548.95977782,586548.95977782,21.0,21.0
0,0.9763306391584892,KS3316,565199.53182885,551821.62016254,3.0,3.0
0,1.0,KS7156,257129.55517575998,257129.55517575998,54.0,54.0
0,1.0,KS3651,212660.24902345,212660.24902345,1.0,1.0
4,1.0,KS3736,84847.439682,84847.439682,7.0,7.0
12,1.0,KS5233,78594.99053955001,78594.99053955001,62.0,62.0
8,1.0,KS3758,76014.43035121,76014.43035121,12.0,12.0
23,0.9957313312816808,KS5015,61925.63001798997,61661.29001826997,339.0,339.0
11,1.0,KS3331,60990.39991642999,60990.39991642999,787.0,787.0
5,0.9664025933223821,KS7112,62621.4999276,60517.579927770006,35.0,35.0
6,0.9946404620082281,KS5233,55752.94013938,55454.130138550005,14.0,14.0
10,0.9839372992186635,KS3551,42630.43995786999,41945.67995664999,56.0,56.0
6,0.9666859189518214,KS3713,42383.57985976001,40971.609845200015,18.0,18.0
14,0.9946206256122891,KS5144,38658.76999472001,38450.80999755001,425.0,425.0
9,1.0,KS3621,38450.80999755001,38450.80999755001,22.0,22.0
0,0.9511993672519113,KS4072,31721.310049829994,30173.290047799986,3.0,3.0
1009,0.9995021673198978,KS7232,29226.68754292,29212.13754273,10942.0,10942.0
0,1.0,KS7158,27683.35003298,27683.35003298,208.0,208.0
7,0.9974607598907361,KS7090,27268.000177449998,27198.7601777,44.0,44.0
30,1.0,KS3551,26545.449744930003,26545.449744930003,84.0,84.0
2,1.0,KS7130,25310.259979230003,25310.259979230003,17.0,17.0
18,0.9954349262834761,KS3658,24994.119929980003,24880.019930020004,47.0,47.0
3,0.9973461707781034,KS5138,24229.14017958,24164.84017935,42.0,42.0
2338,1.0,KS7232,23522.95232389,23522.95232389,15791.0,15791.0
6,1.0,KS7112,22881.09999502,22881.09999502,36.0,36.0
23,1.0,KS3452,22338.78996275001,22338.78996275001,47.0,47.0
14,0.9842924972376487,KS3551,21421.609993059996,21085.129994919993,60.0,60.0
6,1.0,KS3393,19494.570007339997,19494.570007339997,18.0,18.0
522,0.9942810312175655,KS1520,18973.70014211,18865.19014331,10160.0,10160.0
66,1.0,KS5015,18656.8000089,18656.8000089,446.0,446.0
12,0.9949257325817841,KS3551,16922.639952269998,16836.769951729995,58.0,58.0
2,0.9783033758124369,KS7200,16346.32180214,15991.66180115,38.0,38.0
36,0.9998455447629734,KS5088,15667.96999951,15665.54999949,192.0,192.0
479,1.0,KS1520,15657.88284303,15657.88284303,9724.0,9724.0
23,1.0,KS1509,14394.530067430003,14394.530067430003,417.0,417.0
34,0.9998716743033567,KS3331,14233.91423368,14232.087656720001,868.0,868.0
1,1.0,KS6066,13469.699951179999,13469.699951179999,73.0,73.0
9,1.0,KS1503,13459.800092209996,13459.800092209996,961.0,961.0
15,0.9870492506683946,KS1236,11338.340054319997,11191.500054439997,141.0,141.0
138,0.9925545616808961,KS5040,11212.0748198,11128.5960083,680.0,680.0
14,0.9977960217736367,KS3677,9750.550015849998,9729.060015919998,43.0,43.0
3,1.0,KS3695,9499.29997258,9499.29997258,29.0,29.0
2717,1.0,KS7232,9398.2529068,9398.2529068,16424.0,16424.0
17,0.9566981210884926,KS5040,9727.217376890003,9306.010587890001,49.0,49.0
956,1.0,KS7232,8871.579983700001,8871.579983700001,10614.0,10614.0
2718,1.0,KS7232,8864.90081787,8864.90081787,16425.0,16425.0
1614,1.0,KS7232,8691.74989032,8691.74989032,14017.0,14017.0
1493,1.0,KS7232,8560.01870729,8560.01870729,13561.0,13561.0
21,1.0,KS1236,8546.989986430002,8546.989986430002,162.0,162.0
43,0.9802359376227273,KS5040,7334.400009619999,7189.44247033,355.0,355.0
28,1.0,KS1179,7054.09997752,7054.09997752,701.0,701.0
3,0.974965229340755,KS3691,7190.000000799998,7009.999999739999,35.0,35.0
73,1.0,KS3385,6969.656066910001,6969.656066910001,305.0,305.0
197,1.0,KS3385,6865.730060560001,6865.730060560001,706.0,706.0
2,0.9987631539899648,KS6204,6524.6600017499995,6516.590002059999,255.0,255.0
22,1.0,KS1236,6418.259986880001,6418.259986880001,163.0,163.0
2716,1.0,KS7232,6379.828002909999,6379.828002909999,16422.0,16422.0
27,1.0,KS7059,6362.8000182999995,6362.8000182999995,497.0,497.0
10,1.0,KS3479,6095.9699439900005,6095.9699439900005,27.0,27.0
846,1.0,KS7232,5820.815006260001,5820.815006260001,9762.0,9762.0
12,0.9598432177633724,KS3417,5878.20999001,5642.1599915,52.0,52.0
24,0.9915645641831126,KS3384,5687.910005069996,5639.930005289996,41.0,41.0
10,1.0,KS1503,5414.4099732800005,5414.4099732800005,962.0,962.0
267,1.0,KS3385,4926.609991079999,4926.609991079999,841.0,841.0
1551,0.9890151840072138,KS7232,4793.890049190001,4741.23004911,13843.0,13843.0
1223,1.0,KS7232,4629.62003323,4629.62003323,12206.0,12206.0
78,1.0,KS3349,4541.09005494,4541.09005494,609.0,609.0
95,1.0,KS7191,4493.14999278,4493.14999278,726.0,726.0
8,1.0,KS3621,4436.6400299,4436.6400299,21.0,21.0
7,1.0,KS7059,4427.6399846,4427.6399846,294.0,294.0
28,0.9829132195965542,KS6235,4345.2983462600005,4271.05118763,224.0,224.0
1,1.0,KS6173,4229.61998749,4229.61998749,22.0,22.0
38,1.0,KS5040,4138.60947802,4138.60947802,321.0,321.0
